run:
Avg[n= 50	m= 2	p= 0.05	p*= 0.005	URLIG: 46.65	Gnp*: 44.39	URLIG/Gnp*: 1.05	Gnp: 5.8	URLIG/Gnp: 8.04]
Avg[n= 50	m= 2	p= 0.1	p*= 0.019	URLIG: 42.48	Gnp*: 26.99	URLIG/Gnp*: 1.57	Gnp: 1.26	URLIG/Gnp: 33.71]
Avg[n= 50	m= 2	p= 0.15	p*= 0.041	URLIG: 37.43	Gnp*: 8.72	URLIG/Gnp*: 4.29	Gnp: 1.02	URLIG/Gnp: 36.7]
Avg[n= 50	m= 2	p= 0.2	p*= 0.07	URLIG: 32.98	Gnp*: 2.68	URLIG/Gnp*: 12.31	Gnp: 1.0	URLIG/Gnp: 32.98]
Avg[n= 50	m= 2	p= 0.25	p*= 0.105	URLIG: 29.31	Gnp*: 1.2	URLIG/Gnp*: 24.43	Gnp: 1.0	URLIG/Gnp: 29.31]
Avg[n= 50	m= 2	p= 0.3	p*= 0.147	URLIG: 25.41	Gnp*: 1.01	URLIG/Gnp*: 25.16	Gnp: 1.0	URLIG/Gnp: 25.41]
Avg[n= 50	m= 2	p= 0.35	p*= 0.193	URLIG: 22.52	Gnp*: 1.0	URLIG/Gnp*: 22.52	Gnp: 1.0	URLIG/Gnp: 22.52]
Avg[n= 50	m= 2	p= 0.4	p*= 0.243	URLIG: 19.64	Gnp*: 1.0	URLIG/Gnp*: 19.64	Gnp: 1.0	URLIG/Gnp: 19.64]
Avg[n= 50	m= 2	p= 0.45	p*= 0.297	URLIG: 16.25	Gnp*: 1.0	URLIG/Gnp*: 16.25	Gnp: 1.0	URLIG/Gnp: 16.25]
Avg[n= 50	m= 2	p= 0.5	p*= 0.354	URLIG: 13.78	Gnp*: 1.0	URLIG/Gnp*: 13.78	Gnp: 1.0	URLIG/Gnp: 13.78]
Avg[n= 50	m= 2	p= 0.55	p*= 0.414	URLIG: 10.95	Gnp*: 1.0	URLIG/Gnp*: 10.95	Gnp: 1.0	URLIG/Gnp: 10.95]
Avg[n= 50	m= 2	p= 0.6	p*= 0.475	URLIG: 8.65	Gnp*: 1.0	URLIG/Gnp*: 8.65	Gnp: 1.0	URLIG/Gnp: 8.65]
Avg[n= 50	m= 2	p= 0.65	p*= 0.538	URLIG: 6.55	Gnp*: 1.0	URLIG/Gnp*: 6.55	Gnp: 1.0	URLIG/Gnp: 6.55]
Avg[n= 50	m= 2	p= 0.7	p*= 0.603	URLIG: 5.41	Gnp*: 1.0	URLIG/Gnp*: 5.41	Gnp: 1.0	URLIG/Gnp: 5.41]
Avg[n= 50	m= 2	p= 0.75	p*= 0.668	URLIG: 4.5	Gnp*: 1.0	URLIG/Gnp*: 4.5	Gnp: 1.0	URLIG/Gnp: 4.5]
Avg[n= 50	m= 2	p= 0.8	p*= 0.734	URLIG: 3.01	Gnp*: 1.0	URLIG/Gnp*: 3.01	Gnp: 1.0	URLIG/Gnp: 3.01]
Avg[n= 50	m= 2	p= 0.85	p*= 0.8	URLIG: 2.1	Gnp*: 1.0	URLIG/Gnp*: 2.1	Gnp: 1.0	URLIG/Gnp: 2.1]
Avg[n= 50	m= 2	p= 0.9	p*= 0.867	URLIG: 1.52	Gnp*: 1.0	URLIG/Gnp*: 1.52	Gnp: 1.0	URLIG/Gnp: 1.52]
Avg[n= 50	m= 2	p= 0.95	p*= 0.933	URLIG: 1.18	Gnp*: 1.0	URLIG/Gnp*: 1.18	Gnp: 1.0	URLIG/Gnp: 1.18]
Avg[n= 50	m= 3	p= 0.05	p*= 0.007	URLIG: 45.38	Gnp*: 41.47	URLIG/Gnp*: 1.09	Gnp: 5.82	URLIG/Gnp: 7.8]
Avg[n= 50	m= 3	p= 0.1	p*= 0.026	URLIG: 38.52	Gnp*: 18.54	URLIG/Gnp*: 2.08	Gnp: 1.19	URLIG/Gnp: 32.37]
Avg[n= 50	m= 3	p= 0.15	p*= 0.055	URLIG: 32.08	Gnp*: 4.17	URLIG/Gnp*: 7.69	Gnp: 1.04	URLIG/Gnp: 30.85]
Avg[n= 50	m= 3	p= 0.2	p*= 0.092	URLIG: 26.52	Gnp*: 1.43	URLIG/Gnp*: 18.55	Gnp: 1.0	URLIG/Gnp: 26.52]
Avg[n= 50	m= 3	p= 0.25	p*= 0.136	URLIG: 21.94	Gnp*: 1.04	URLIG/Gnp*: 21.1	Gnp: 1.0	URLIG/Gnp: 21.94]
Avg[n= 50	m= 3	p= 0.3	p*= 0.184	URLIG: 17.97	Gnp*: 1.0	URLIG/Gnp*: 17.97	Gnp: 1.0	URLIG/Gnp: 17.97]
Avg[n= 50	m= 3	p= 0.35	p*= 0.235	URLIG: 15.02	Gnp*: 1.0	URLIG/Gnp*: 15.02	Gnp: 1.0	URLIG/Gnp: 15.02]
Avg[n= 50	m= 3	p= 0.4	p*= 0.289	URLIG: 12.11	Gnp*: 1.0	URLIG/Gnp*: 12.11	Gnp: 1.0	URLIG/Gnp: 12.11]
Avg[n= 50	m= 3	p= 0.45	p*= 0.346	URLIG: 9.18	Gnp*: 1.0	URLIG/Gnp*: 9.18	Gnp: 1.0	URLIG/Gnp: 9.18]
Avg[n= 50	m= 3	p= 0.5	p*= 0.403	URLIG: 7.16	Gnp*: 1.0	URLIG/Gnp*: 7.16	Gnp: 1.0	URLIG/Gnp: 7.16]
Avg[n= 50	m= 3	p= 0.55	p*= 0.462	URLIG: 5.6	Gnp*: 1.0	URLIG/Gnp*: 5.6	Gnp: 1.0	URLIG/Gnp: 5.6]
Avg[n= 50	m= 3	p= 0.6	p*= 0.521	URLIG: 4.38	Gnp*: 1.0	URLIG/Gnp*: 4.38	Gnp: 1.0	URLIG/Gnp: 4.38]
Avg[n= 50	m= 3	p= 0.65	p*= 0.58	URLIG: 3.27	Gnp*: 1.0	URLIG/Gnp*: 3.27	Gnp: 1.0	URLIG/Gnp: 3.27]
Avg[n= 50	m= 3	p= 0.7	p*= 0.64	URLIG: 2.47	Gnp*: 1.0	URLIG/Gnp*: 2.47	Gnp: 1.0	URLIG/Gnp: 2.47]
Avg[n= 50	m= 3	p= 0.75	p*= 0.7	URLIG: 1.82	Gnp*: 1.0	URLIG/Gnp*: 1.82	Gnp: 1.0	URLIG/Gnp: 1.82]
Avg[n= 50	m= 3	p= 0.8	p*= 0.76	URLIG: 1.39	Gnp*: 1.0	URLIG/Gnp*: 1.39	Gnp: 1.0	URLIG/Gnp: 1.39]
Avg[n= 50	m= 3	p= 0.85	p*= 0.82	URLIG: 1.17	Gnp*: 1.0	URLIG/Gnp*: 1.17	Gnp: 1.0	URLIG/Gnp: 1.17]
Avg[n= 50	m= 3	p= 0.9	p*= 0.88	URLIG: 1.05	Gnp*: 1.0	URLIG/Gnp*: 1.05	Gnp: 1.0	URLIG/Gnp: 1.05]
Avg[n= 50	m= 3	p= 0.95	p*= 0.94	URLIG: 1.01	Gnp*: 1.0	URLIG/Gnp*: 1.01	Gnp: 1.0	URLIG/Gnp: 1.01]
Avg[n= 50	m= 4	p= 0.05	p*= 0.009	URLIG: 44.1	Gnp*: 39.19	URLIG/Gnp*: 1.13	Gnp: 5.41	URLIG/Gnp: 8.15]
Avg[n= 50	m= 4	p= 0.1	p*= 0.033	URLIG: 34.85	Gnp*: 13.82	URLIG/Gnp*: 2.52	Gnp: 1.28	URLIG/Gnp: 27.23]
Avg[n= 50	m= 4	p= 0.15	p*= 0.067	URLIG: 27.42	Gnp*: 2.72	URLIG/Gnp*: 10.08	Gnp: 1.02	URLIG/Gnp: 26.88]
Avg[n= 50	m= 4	p= 0.2	p*= 0.11	URLIG: 21.25	Gnp*: 1.17	URLIG/Gnp*: 18.16	Gnp: 1.0	URLIG/Gnp: 21.25]
